,Coefficient
seller_city_pitangueiras,0.0
seller_city_pocos de caldas,0.0
seller_city_pompeia,0.0
seller_city_porto alegre,14843531981.037205
seller_city_porto ferreira,787048054.3576112
seller_city_praia grande,787048055.3055077
seller_city_presidente prudente,787048057.8320327
seller_city_recife,6119847331.344738
seller_city_resende,0.0
seller_city_ribeirao pires,787048049.9727659
seller_city_ribeirao preto,787048056.3306255
seller_city_ribeirao preto / sao paulo,0.0
seller_city_rio claro,787048052.3865337
seller_city_rio de janeiro,22732955673.257565
seller_city_rio do sul,0.0
seller_city_rio negrinho,12229883642.781515
seller_city_rio verde,0.0
seller_city_ronda alta,0.0
seller_city_sabara,885852286.1852291
seller_city_salto,787048056.1983862
seller_city_salvador,18283989411.35833
seller_city_sando andre,0.0
seller_city_santa barbara d oeste,787048052.3907566
seller_city_santa maria,14843531976.77668
seller_city_santa rita do sapucai,885852286.0047705
seller_city_santa rosa,14843531975.171986
seller_city_santo andre,787048053.8134232
seller_city_santos,787048054.2766285
seller_city_sao bernardo do campo,787048053.6976361
seller_city_sao caetano do sul,787048057.0002499
seller_city_sao carlos,787048053.0144749
seller_city_sao joao da boa vista,787048055.4641447
seller_city_sao joao de meriti,19283978972.924767
seller_city_sao joao del rei,885852283.493763
seller_city_sao jose do rio preto,787048057.8990364
seller_city_sao jose dos pinhais,0.0
seller_city_sao jose dos pinhas,3696694946.0082474
seller_city_sao paulo,787048054.5009766
seller_city_sao paulo - sp,787048055.3052344
seller_city_sao pedro,6918967465.267517
seller_city_sao pedro da aldeia,22732955674.28746
seller_city_sao roque,787048054.7307091
seller_city_sao sebastiao,787048053.4948254
seller_city_sbc,0.0
seller_city_sbc/sp,787048051.937027
seller_city_sete lagoas,18036345669.26526
seller_city_sorocaba,787048057.0177937
seller_city_sp / sp,787048055.390357
seller_city_tabatinga,31932121011.15727
seller_city_taboao da serra,0.0
seller_city_toledo,3696694942.8146114
seller_city_tres coracoes,0.0
seller_city_triunfo,125414985532.43874
seller_city_uberlandia,885852285.8601713
seller_city_umuarama,38320239699.9692
seller_city_uruacu,0.0
seller_city_varzea alegre,26199010383.972977
seller_city_varzea paulista,787048055.9517441
seller_city_viana,0.0
seller_city_vila velha,5949403142.097698
seller_state_BA,6385183127.998032
seller_state_CE,3919117979.514527
seller_state_DF,6510351641.250444
seller_state_ES,5949403142.097698
seller_state_GO,19218734246.70882
seller_state_MG,11012953999.30949
seller_state_PB,5769932167.692789
seller_state_PE,5778958951.42767
seller_state_PR,8202111339.287005
seller_state_RJ,10834149389.99305
seller_state_RS,2944725694.928117
seller_state_SC,331077359.17987823
seller_state_SP,11111758229.444786
