,landing_page_id,origin,sdr_id,sr_id,business_segment,lead_type,lead_behaviour_profile,business_type,seller_state,sdr_load,sr_load
153,56,organic_search,high,mid,home,online_big,wolf,manufacturer,MG,19.0,11.0
154,100,rest,high,mid,miscellaneous,online_medium,cat,manufacturer,SP,16.0,5.0
155,100,social,high,mid,electronics,online_big,cat,reseller,PR,11.0,6.0
156,100,organic_search,high,mid,automobiles,industry,eagle,reseller,MG,5.0,8.0
157,13,paid_search,high,mid,home,online_medium,cat,reseller,SP,17.0,7.0
158,100,paid_search,high,mid,electronics,online_medium,cat,reseller,RJ,34.0,26.0
159,56,organic_search,mid,mid,miscellaneous,online_medium,cat,reseller,SP,24.0,25.0
160,56,unknown,mid,mid,furniture,industry,cat,manufacturer,SP,16.0,11.0
161,100,organic_search,mid,mid,home,online_medium,eagle,reseller,SP,7.0,11.0
162,100,rest,mid,mid,home,online_medium,cat,reseller,ES,9.0,10.0
163,100,unknown,mid,mid,automobiles,online_big,cat,reseller,PR,19.0,7.0
164,62,organic_search,mid,mid,home,online_big,cat,reseller,SP,17.0,11.0
165,13,organic_search,mid,mid,hobby,online_medium,cat,reseller,SP,7.0,14.0
166,100,paid_search,mid,mid,miscellaneous,offline,shark,reseller,SP,8.0,8.0
167,13,organic_search,mid,mid,food,online_medium,cat,reseller,SP,15.0,6.0
168,100,organic_search,mid,mid,miscellaneous,online_big,cat,reseller,SP,8.0,7.0
169,26,paid_search,mid,mid,miscellaneous,online_big,cat,manufacturer,SP,28.0,13.0
170,100,paid_search,mid,mid,home,offline,cat,reseller,SP,9.0,22.0
171,13,direct_traffic,mid,mid,pet,online_big,cat,manufacturer,RJ,7.0,10.0
172,100,paid_search,mid,mid,home,industry,wolf,manufacturer,BA,10.0,8.0
173,56,direct_traffic,mid,mid,electronics,online_medium,cat,reseller,SP,7.0,11.0
174,31,social,mid,mid,electronics,online_big,cat,reseller,SP,7.0,10.0
175,62,organic_search,mid,mid,home,online_medium,cat,reseller,SP,7.0,10.0
176,56,unknown,mid,mid,home,online_medium,cat,reseller,SP,2.0,10.0
177,13,organic_search,mid,mid,miscellaneous,online_medium,cat,manufacturer,PR,6.0,8.0
178,13,rest,low,mid,health,online_medium,cat,reseller,SP,6.0,8.0
179,100,paid_search,low,mid,miscellaneous,online_big,wolf,reseller,RJ,14.0,31.0
180,26,paid_search,low,mid,health,industry,wolf,manufacturer,SP,14.0,31.0
181,13,organic_search,low,mid,electronics,online_small,cat,reseller,MG,7.0,13.0
182,56,unknown,low,mid,home,offline,cat,reseller,SP,10.0,10.0
183,62,organic_search,low,mid,kids,online_medium,wolf,reseller,SP,10.0,23.0
184,26,paid_search,high,mid,home,industry,shark,reseller,PR,24.0,6.0
185,13,organic_search,high,mid,kids,online_medium,cat,reseller,RS,15.0,3.0
186,56,unknown,high,mid,electronics,online_medium,wolf,reseller,SP,24.0,11.0
187,13,organic_search,high,mid,home,online_beginner,cat,manufacturer,SP,10.0,5.0
188,100,rest,high,mid,electronics,online_big,cat,reseller,PR,12.0,5.0
189,31,social,high,mid,pet,online_medium,cat,reseller,SP,10.0,11.0
190,100,direct_traffic,high,mid,health,online_big,cat,manufacturer,CE,10.0,3.0
191,26,paid_search,high,mid,home,online_medium,cat,manufacturer,MG,11.0,5.0
192,31,social,high,mid,kids,online_medium,cat,manufacturer,RS,15.0,10.0
193,56,unknown,high,mid,home,online_top,cat,manufacturer,SC,11.0,4.0
194,26,paid_search,mid,mid,hobby,online_medium,cat,manufacturer,RS,11.0,6.0
195,56,unknown,mid,mid,electronics,online_big,cat,reseller,RS,2.0,3.0
196,13,organic_search,mid,mid,home,online_medium,cat,manufacturer,RJ,6.0,2.0
197,31,social,mid,mid,home,online_big,cat,manufacturer,RS,20.0,12.0
198,56,unknown,mid,mid,electronics,online_big,cat,reseller,SP,20.0,14.0
199,13,organic_search,mid,mid,electronics,online_medium,cat,reseller,PR,13.0,8.0
200,26,paid_search,mid,mid,health,industry,cat,manufacturer,RS,10.0,6.0
201,13,paid_search,mid,mid,kids,online_medium,cat,manufacturer,SP,16.0,10.0
202,56,unknown,mid,mid,automobiles,online_medium,eagle,reseller,SP,27.0,25.0
203,26,paid_search,mid,mid,home,online_medium,cat,manufacturer,PR,14.0,6.0
204,26,organic_search,mid,mid,home,online_medium,eagle,manufacturer,RS,21.0,6.0
205,13,organic_search,mid,mid,food,online_medium,cat,reseller,SP,18.0,4.0
206,13,rest,mid,mid,miscellaneous,offline,cat,reseller,SP,8.0,1.0
207,100,unknown,mid,mid,automobiles,online_big,cat,reseller,MG,5.0,1.0
208,100,organic_search,mid,mid,electronics,industry,wolf,reseller,SP,3.0,3.0
209,31,social,mid,mid,pet,online_medium,shark,reseller,SP,5.0,2.0
210,56,unknown,low,mid,health,online_medium,cat,reseller,SP,10.0,5.0
211,56,organic_search,low,mid,home,online_big,cat,reseller,SP,12.0,7.0
212,56,unknown,low,mid,home,online_small,cat,reseller,SP,10.0,3.0
213,13,rest,low,mid,automobiles,online_big,cat,reseller,SP,11.0,13.0
214,62,organic_search,high,mid,health,online_big,cat,reseller,SP,36.0,10.0
215,100,organic_search,high,mid,electronics,online_medium,wolf,reseller,SP,21.0,8.0
216,100,paid_search,high,mid,electronics,online_medium,cat,reseller,SP,11.0,3.0
217,13,organic_search,high,mid,home,online_big,shark,reseller,RJ,18.0,4.0
218,13,organic_search,high,mid,home,online_big,cat,reseller,SP,9.0,5.0
219,100,paid_search,high,mid,home,online_big,cat,reseller,SP,43.0,25.0
220,100,organic_search,high,mid,electronics,online_big,cat,manufacturer,CE,16.0,10.0
221,62,direct_traffic,high,mid,pet,one_seven_two,cat,reseller,SP,11.0,7.0
222,100,rest,high,mid,health,online_medium,cat,reseller,SP,27.0,19.0
223,13,organic_search,high,mid,home,online_medium,cat,reseller,RJ,10.0,6.0
224,100,organic_search,high,mid,hobby,online_big,cat,reseller,SP,18.0,11.0
225,56,unknown,mid,mid,home,online_medium,wolf,reseller,SP,8.0,6.0
227,26,paid_search,mid,mid,health,offline,cat,reseller,RJ,11.0,8.0
228,100,rest,mid,mid,home,online_medium,cat,reseller,SP,9.0,5.0
229,56,organic_search,mid,mid,automobiles,industry,cat,reseller,GO,13.0,9.0
230,100,paid_search,mid,mid,health,online_small,cat,reseller,RJ,8.0,3.0
231,56,unknown,mid,mid,kids,online_medium,cat,reseller,DF,9.0,4.0
232,13,direct_traffic,mid,mid,home,online_small,cat,reseller,SC,8.0,7.0
233,62,social,mid,mid,home,online_medium,wolf,reseller,SC,6.0,6.0
234,13,paid_search,mid,mid,pet,online_medium,cat,reseller,PR,13.0,9.0
235,100,paid_search,mid,mid,automobiles,online_big,eagle,reseller,SP,13.0,8.0
236,26,paid_search,mid,mid,health,offline,eagle,reseller,RJ,7.0,4.0
237,100,direct_traffic,mid,mid,automobiles,online_big,cat,reseller,SC,5.0,4.0
238,56,unknown,low,mid,hobby,online_medium,"eagle, cat",reseller,SP,14.0,6.0
239,26,organic_search,low,mid,health,online_medium,cat,manufacturer,MG,4.0,4.0
240,100,organic_search,low,mid,automobiles,online_beginner,cat,reseller,BA,14.0,10.0
241,13,organic_search,low,mid,miscellaneous,online_big,cat,reseller,RJ,3.0,2.0
242,46,social,low,mid,kids,online_small,cat,reseller,SP,1.0,4.0
243,56,unknown,high,mid,miscellaneous,online_medium,cat,reseller,SP,14.0,8.0
244,56,unknown,high,mid,health,online_big,cat,reseller,SP,14.0,7.0
245,13,organic_search,high,mid,home,industry,cat,manufacturer,SP,13.0,5.0
246,100,paid_search,high,mid,home,online_medium,cat,reseller,SP,13.0,6.0
247,100,unknown,high,mid,health,online_medium,cat,reseller,RJ,13.0,6.0
248,13,organic_search,mid,mid,food,online_medium,cat,manufacturer,BA,9.0,4.0
249,56,unknown,mid,mid,automobiles,online_beginner,cat,reseller,SP,8.0,4.0
250,100,rest,mid,mid,health,online_medium,cat,reseller,SP,12.0,6.0
251,56,unknown,mid,mid,utility,online_big,cat,reseller,SP,16.0,12.0
252,13,organic_search,mid,mid,home,online_medium,cat,manufacturer,SP,9.0,4.0
253,62,paid_search,mid,mid,kids,online_medium,cat,reseller,SP,24.0,17.0
254,26,paid_search,mid,mid,home,offline,eagle,reseller,SP,12.0,2.0
255,56,organic_search,mid,mid,automobiles,industry,cat,reseller,MG,7.0,3.0
256,46,social,mid,mid,electronics,online_big,cat,reseller,SP,12.0,13.0
257,56,unknown,mid,mid,miscellaneous,industry,eagle,reseller,SP,8.0,4.0
258,100,direct_traffic,mid,mid,health,online_beginner,cat,reseller,RJ,2.0,1.0
259,100,paid_search,low,mid,home,online_medium,wolf,reseller,SP,4.0,1.0
260,31,social,low,mid,electronics,online_small,eagle,reseller,PR,4.0,1.0
261,26,organic_search,low,mid,automobiles,industry,cat,reseller,SP,12.0,8.0
262,62,direct_traffic,low,mid,food,offline,cat,reseller,SC,3.0,3.0
263,100,paid_search,low,mid,home,industry,cat,manufacturer,PR,11.0,7.0
264,62,rest,low,mid,kids,online_big,cat,reseller,SP,10.0,7.0
265,46,social,low,mid,pet,online_medium,cat,reseller,SP,12.0,9.0
266,26,paid_search,high,mid,electronics,online_beginner,cat,reseller,SP,9.0,4.0
267,26,organic_search,high,mid,home,online_medium,cat,reseller,SP,15.0,2.0
268,56,paid_search,high,mid,home,online_beginner,cat,reseller,SP,7.0,3.0
269,100,paid_search,high,mid,electronics,online_beginner,wolf,reseller,SP,61.0,19.0
270,56,unknown,high,mid,electronics,online_medium,cat,reseller,SP,16.0,4.0
271,100,organic_search,high,mid,automobiles,online_medium,cat,reseller,SP,11.0,4.0
272,62,direct_traffic,high,mid,home,offline,cat,reseller,SP,10.0,2.0
273,46,organic_search,high,mid,miscellaneous,online_medium,cat,reseller,PR,16.0,5.0
274,13,organic_search,mid,mid,pet,online_small,cat,reseller,SP,20.0,9.0
